,BEI_companyName,BEI_Cohort,BEI_Address,BEI_City,BEI_State,BEI_Zip,BEI_yearEstablished,BEI_NAICSCode,BEI_Sector,BEI_numberOfEmployees,BEI_execName,BEI_execTitle,BEI_execEth,BEI_revenue,BEI_Sustained Revenues >$800K,BEI_Website,BEI_phone,BEI_Strong Leadership and Willing to ready to grow,BEI_Demonstrated Proven Business Model,"BEI_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",MBE_Cohort,MBE_Address,MBE_City,MBE_State,MBE_Zip,MBE_yearEstablished,MBE_NAICSCode,MBE_Sector,MBE_numberOfEmployees,MBE_execName,MBE_execTitle,MBE_execEth,MBE_revenue,MBE_Sustained Revenues >$800K,MBE_Website,MBE_phone,MBE_Strong Leadership and Willing to ready to grow,MBE_Demonstrated Proven Business Model,MBE_referenceUSA_indicator,referenceUSA_companyName,"MBE_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",MVCF_Address,MVCF_City,MVCF_State,MVCF_Zip,MVCF_yearEstablished,MVCF_NAICSCode,MVCF_Sector,MVCF_numberOfEmployees,MVCF_execName,MVCF_execTitle,MVCF_execEth,MVCF_revenue,MVCF_Sustained Revenues >$800K,MVCF_Website,MVCF_phone,MVCF_Strong Leadership and Willing to ready to grow,MVCF_Demonstrated Proven Business Model,"MVCF_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",NAIC_Address,NAIC_City,NAIC_State,NAIC_Zip,NAIC_yearEstablished,NAIC_NAICSCode,NAIC_sector,NAIC_numberOfEmployees,NAIC_execName,NAIC_execTitle,NAIC_execEth,NAIC_revenue,NAIC_Sustained Revenues >$800K,NAIC_Website,NAIC_phone,NAIC_Strong Leadership and Willing to ready to grow,NAIC_Demonstrated Proven Business Model,"NAIC_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",USBC_companyAddress,USBC_City,USBC_State,USBC_Zip,USBC_yearEstablished,USBC_NAICCode,USBC_sector,USBC_numberOfEmployees,USBC_execName,USBC_execTitle,USBC_executiveRace,USBC_revenue,USBC_Sustained Revenues >$800K,USBC_Website,USBC_phone,USBC_Strong Leadership and Willing to ready to grow,USBC_Demonstrated Proven Business Model,"USBC_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",RefUSA_address,RefUSA_City,RefUSA_State,RefUSA_Zip,RefUSA_yearEstablished,RefUSA_NAICSCode,RefUSA_sector,RefUSA_numberOfEmployees,RefUSA_execName,RefUSA_execTitle,RefUSA_execEth,RefUSA_revenue,RefUSA_Sustained Revenues >$800K,RefUSA_Website,RefUSA_phone,RefUSA_Strong Leadership and Willing to ready to grow,RefUSA_Demonstrated Proven Business Model,"RefUSA_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",Name,Ethnicity
1,100 Percent Auto Wholesalers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 Washington St Attleboro,,MA,2703.0, NA,441110.0,,4,Onassis Martinez,president,Hispanic,"$12,587,000",,,(508) 399-7999,,,,Onassis Martinez,Hispanic
2,101 Monmouth Street Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101 Monmouth St Brookline,,MA,2446.0, NA,531110.0,,14,,,,"$3,258,000",,,(617) 232-1016,,,,,
3,1010 Dental On Elm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 Elm St # 101 Worcester,,MA,1609.0, NA,621210.0,,1_4,,,,"$554,000",,,(508) 755-1293,,,,,
4,1060 Belmont Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Chapel St Newton,,MA,2458.0, NA,531110.0,,1_4,Suneeth John,president,Western Europe,"$1,686,000",,,(617) 923-3505,,,,Suneeth John,Western Europe
5,110 Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Lumber St # 100 Hopkinton,,MA,1748.0, NA,722511.0,,60,,,,"$3,355,000",,,(508) 625-2141,,,,,
6,114 Liquors Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 Winthrop Ave Lawrence,,MA,1843.0, NA,445310.0,,2,Luis Bereze,owner,Hispanic,"$974,000",,,(978) 686-4950,,,,Luis Bereze,Hispanic
7,119 Sierra Real Estate Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Earhart St # 918t Cambridge,,MA,2141.0,2016,531210.0,,1_4,Fernando J Quintero,"president, board member",Hispanic,"$544,000",,,,,,,Fernando J Quintero,Hispanic
8,128 Technology Securities Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 Wheeler Rd # 6 Burlington,,MA,1803.0,2015,523120.0,,1_4,Andrew D Ory,"president, board member",Eastern European,"$2,458,000",,,,,,,Andrew D Ory,Eastern European
9,15 Walnut Local Bistro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Walnut Rd # 11 South Hamilton,,MA,1982.0, NA,722511.0,,15,Jeff Cala,owner,Hispanic,"$755,000",,,(978) 468-2400,,,,Jeff Cala,Hispanic
10,185 Exchange Street Food Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185 Exchange St Chicopee,,MA,1013.0,2018,445110.0,,5_9,,,,"$1,116,000",,,,,,,,
11,19 Crest Avenue Food Svc Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 Crest Ave Winthrop,,MA,2152.0, NA,454390.0,,50-99,Abraham Gallego,"president, board member",Hispanic,"$6,371,000",,,,,,,Abraham Gallego,Hispanic
12,1A Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 Technology Park Dr # 101 Westford,,MA,1886.0,1911,441310.0,,45,Richard Green,ceo,Western Europe,"$8,818,000",,,(978) 433-3393,,,,Richard Green,Western Europe
13,2 Dog Golf Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 N Precinct St Lakeville,,MA,2347.0,2017,713910.0,,10_19,,,,"$1,576,000",,,,,,,,
14,2 R Construction Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 Andrew St Everett,,MA,2149.0,2017,236115.0,,1_4,,,,"$1,334,000",,,,,,,,
15,200 Boylston Street Shpg Ctr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 Boylston St Chestnut Hill,,MA,2467.0, NA,531120.0,,1_4,,,,"$1,582,000",,,(561) 694-3000,,,,,
16,2020 Onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190 Dorchester Ave Boston,,MA,2127.0, NA,524210.0,,1_4,Alexis Mclaughlin,ceo,Western Europe,"$902,000",,,(857) 496-1806,,,,Alexis Mclaughlin,Western Europe
17,"21ST Century Home Care, Inc. d/b/a: Home Helpers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"866 Washington Street Canton, Massachusetts 2021 United States",,,,,,Certified Contractors,,,,Black,,,,(781) 828-2121,,,,,,,,,,,,,,,,,,,,,,,
18,24 Hour Semi Truck & Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 Lambeth Park Dr Fairhaven,,MA,2719.0, NA,811111.0,,4,Queen Fora,ceo,African American,"$504,000",,,(413) 628-1429,,,,Queen Fora,African American
25,2m Cleaning Svc Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111 S Walnut St Quincy,,MA,2169.0,2015,561720.0,,5_9,Miriam A Araujo,"president, treasurer, board member",Hispanic,"$684,000",,,,,,,Miriam A Araujo,Hispanic
26,2vil Trucking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321 Orange St Springfield,,MA,1108.0, NA,484230.0,,3,Luis Villa,owner,Hispanic,"$566,000",,,(401) 574-6520,,,,Luis Villa,Hispanic
27,3 D Auto Sales LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575 State Rd Westport,,MA,2790.0, NA,441120.0,,1,Denise Fernandes,"owner, president, treasurer, board member",Hispanic,"$520,000",,,(508) 678-8105,,,,Denise Fernandes,Hispanic
28,3 J's Yogurt Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66 Fairfield Cir Norwood,,MA,2062.0, NA,445299.0,,5_9,Mario J Costa,"owner, president, board member",Hispanic,"$504,000",,,,,,,Mario J Costa,Hispanic
